K2 ID,Campaign,Object type,RA (J2000),Dec (J2000),Target Type,Investigation ID,KEP Mag,Kep Flag,Module,Output,Channel
integer,integer,substring,ra,dec,ustring,string,float,string,integer,integer,integer
210575588,4,STAR,03 33 18.868,+16 36 19.97,LC,GO4006_GO4060,15.479,JHK,23,4,80
210575708,4,STAR,03 28 40.631,+16 36 26.74,LC,GO4020_GO4089_GO4104,10.867,gri,23,4,80
210575782,4,STAR,03 38 15.284,+16 36 30.61,LC,GO4007_GO4029_GO4033_GO4060,12.091,gri,23,1,77
210575802,4,STAR,03 58 09.217,+16 36 31.45,LC,GO4020_GO4089,12.232,gri,12,1,37
210576001,4,STAR,03 29 16.516,+16 36 42.65,LC,GO4020,12.441,gri,23,4,80
210576063,4,STAR,03 48 12.064,+16 36 46.62,LC,GO4020,12.048,gri,18,2,62
210576077,4,STAR,03 28 36.905,+16 36 47.41,LC,GO4007_GO4029_GO4033_GO4060_GO4104,10.775,gri,23,4,80
210576225,4,STAR,03 46 44.188,+16 36 55.08,LC,GO4007_GO4029_GO4033,12.470,gri,18,3,63
210576227,4,STAR,03 55 46.380,+16 36 55.17,LC,GO4007_GO4029_GO4033,12.646,gri,12,1,37
210576234,4,STAR,03 35 05.417,+16 36 55.33,LC,GO4007_GO4029_GO4033_GO4104,11.603,gri,23,1,77
210576237,4,STAR,03 36 37.595,+16 36 55.41,LC,GO4007_GO4033,11.867,gri,23,1,77
210576418,4,STAR,03 57 53.806,+16 37 05.32,LC,GO4007_GO4033_GO4102,12.197,gri,12,1,37
210576472,4,STAR,03 33 04.914,+16 37 07.79,LC,GO4007_GO4029_GO4033,12.383,gri,23,4,80
210576500,4,STAR,04 05 11.638,+16 37 09.65,LC,GO4006_GO4011_GO4097,15.672,JHK,12,2,38
210576501,4,STAR,04 01 44.184,+16 37 09.84,LC,GO4007_GO4020_GO4029_GO4033_GO4060,12.943,gri,12,2,38
210576513,4,STAR,03 44 05.021,+16 37 10.92,LC,GO4020_GO4106,12.438,gri,18,3,63
210576542,4,STAR,04 03 40.820,+16 37 12.57,LC,GO4007_GO4020_GO4029_GO4033_GO4060_GO4083_GO4104_GO4106,11.842,gri,12,2,38
210576556,4,STAR,03 44 23.737,+16 37 13.18,LC,GO4083,15.441,JHK,18,3,63
210576611,4,STAR,03 44 24.533,+16 37 15.65,LC,GO4007_GO4020_GO4060,13.770,gri,18,3,63
210576874,4,STAR,03 29 38.033,+16 37 28.91,LC,GO4007_GO4029_GO4033_GO4104,11.456,gri,23,4,80
210576889,4,STAR,04 04 20.053,+16 37 29.77,LC,GO4020_GO4102_GO4104,10.621,gri,12,2,38
210576899,4,STAR,04 03 44.860,+16 37 30.25,LC,GO4007_GO4011_GO4083_GO4097,15.208,JHK,12,2,38
210576971,4,STAR,03 42 57.276,+16 37 33.92,LC,GO4007_GO4029_GO4033_GO4060_GO4104,10.181,gri,18,3,63
210577029,4,STAR,03 58 13.804,+16 37 37.41,LC,GO4007_GO4020_GO4060,13.263,gri,12,1,37
210577050,4,STAR,04 04 37.405,+16 37 38.68,LC,GO4007_GO4029_GO4033,9.194,gri,12,2,38
210577198,4,STAR,04 00 59.584,+16 37 46.09,LC,GO4007_GO4033,12.396,gri,12,2,38
210577261,4,STAR,03 33 08.050,+16 37 49.67,LC,GO4007_GO4020,13.248,gri,23,4,80
210577546,4,STAR,03 41 44.290,+16 38 04.26,LC,GO4007_GO4029_GO4033_GO4057,12.464,gri,18,3,63
210577548,4,STAR,03 43 14.225,+16 38 04.38,LC,GO4007_GO4060,13.138,gri,18,3,63
210577622,4,STAR,03 44 39.260,+16 38 08.37,LC,GO4007_GO4029_GO4033_GO4060,12.833,gri,18,3,63
210577657,4,STAR,03 50 16.973,+16 38 10.07,LC,GO4007_GO4020_GO4060,14.205,gri,18,2,62
210577668,4,STAR,03 56 20.620,+16 38 10.40,LC,GO4007_GO4020_GO4060,13.210,gri,12,1,37
210577756,4,STAR,03 28 17.252,+16 38 14.77,LC,GO4020_GO4089,12.473,gri,23,4,80
210577810,4,STAR,04 04 17.216,+16 38 18.12,LC,GO4007_GO4029_GO4033_GO4060_GO4104_GO4106,11.330,gri,12,2,38
210578113,4,STAR,03 37 49.778,+16 38 33.45,LC,GO4020_GO4104,11.101,gri,23,1,77
210578381,4,STAR,03 45 35.197,+16 38 47.53,LC,GO4097,15.350,JHK,18,3,63
210578443,4,STAR,04 05 20.314,+16 38 50.68,LC,GO4007_GO4020_GO4060,13.189,gri,12,2,38
210578532,4,STAR,04 02 43.163,+16 38 56.07,LC,GO4020,9.778,gri,12,2,38
210578691,4,STAR,03 46 26.915,+16 39 04.66,LC,GO4007_GO4029_GO4033_GO4060_GO4104,10.221,gri,18,3,63
210578809,4,STAR,04 02 25.188,+16 39 10.41,LC,GO4007_GO4029_GO4033,12.856,gri,12,2,38
210578852,4,STAR,03 37 51.074,+16 39 12.59,LC,GO4060,15.699,gri,23,1,77
210578857,4,STAR,03 55 54.707,+16 39 12.77,LC,GO4007_GO4029_GO4033,12.492,gri,12,1,37
210578865,4,STAR,03 49 30.497,+16 39 13.32,LC,GO4007_GO4020_GO4060,14.018,gri,18,2,62
210579087,4,STAR,04 04 54.257,+16 39 25.35,LC,GO4020_GO4104,10.777,gri,12,2,38
210579117,4,STAR,03 32 24.439,+16 39 26.92,LC,GO4020,11.888,gri,23,4,80
210579253,4,STAR,03 47 51.886,+16 39 34.38,LC,GO4020,13.446,gri,18,2,62
210579275,4,STAR,03 31 40.570,+16 39 35.40,LC,GO4007_GO4029_GO4033_GO4060_GO4104,11.513,gri,23,4,80
210579292,4,STAR,03 49 00.347,+16 39 36.63,LC,GO4007_GO4033,11.825,gri,18,2,62
210579547,4,STAR,03 42 55.580,+16 39 51.08,LC,GO4007_GO4029_GO4033,12.712,gri,18,3,63
210579563,4,STAR,03 59 15.025,+16 39 51.93,LC,GO4006_GO4011_GO4018_GO4020_GO4024_GO4026_GO4032_GO4048_GO4054_GO4095_GO4097,14.520,gri,12,1,37
210579589,4,STAR,03 38 55.756,+16 39 53.52,LC,GO4020,12.659,gri,23,1,77
210579746,4,STAR,03 56 23.780,+16 40 01.95,LC,GO4020,12.876,gri,12,1,37
210579749,4,STAR,03 43 45.250,+16 40 02.09,LC,GO4011_GO4020_GO4029_GO4057_GO4060_GO4071_GO4072_GO4081_GO4098_GO4102_GO4109,9.982,gri,18,3,63
210579784,4,STAR,04 00 06.804,+16 40 04.58,LC,GO4006_GO4011_GO4020_GO4097,14.164,JHK,12,1,37
210579801,4,STAR,04 02 12.869,+16 40 05.09,LC,GO4007_GO4029_GO4033,12.717,gri,12,2,38
210579872,4,STAR,03 57 38.182,+16 40 08.66,LC,GO4007_GO4020,13.049,gri,12,1,37
210579968,4,STAR,04 03 01.411,+16 40 14.15,LC,GO4007_GO4020_GO4060,13.056,gri,12,2,38
210580014,4,STAR,03 32 07.606,+16 40 17.26,LC,GO4007_GO4020_GO4060,13.264,gri,23,4,80
210580056,4,STAR,03 43 52.565,+16 40 19.29,LC,GO4007_GO4020_GO4023_GO4029_GO4033_GO4057_GO4060_GO4071_GO4072_GO4081_GO4098_GO4102_GO4104_GO4109,9.296,gri,18,3,63
210580059,4,STAR,03 38 29.332,+16 40 19.34,LC,GO4007_GO4029_GO4033_GO4060,12.726,gri,23,1,77
210580170,4,STAR,03 58 48.662,+16 40 25.43,LC,GO4007_GO4020_GO4060,14.053,gri,12,1,37
210580175,4,STAR,03 31 23.779,+16 40 25.64,LC,GO4007_GO4029_GO4033,12.322,gri,23,4,80
210580215,4,STAR,03 28 22.076,+16 40 27.66,LC,GO4007_GO4033,12.254,gri,23,4,80
210580236,4,STAR,03 33 06.635,+16 40 28.51,LC,GO4007_GO4029_GO4033,12.692,gri,23,4,80
210580256,4,STAR,03 36 07.445,+16 40 29.55,LC,GO4007_GO4060,13.621,gri,23,1,77
210580436,4,STAR,03 32 26.045,+16 40 39.89,LC,GO4046,15.177,gri,23,4,80
210580471,4,STAR,03 36 30.971,+16 40 41.84,LC,GO4033,9.432,BV,23,1,77
210580681,4,STAR,03 56 05.204,+16 40 53.22,LC,GO4007_GO4029_GO4033,12.185,gri,12,1,37
210580844,4,STAR,03 43 34.972,+16 41 01.60,LC,GO4007_GO4020_GO4029_GO4033_GO4060,12.866,gri,18,3,63
210580883,4,STAR,03 58 54.923,+16 41 04.18,LC,GO4007_GO4029_GO4033_GO4060_GO4082_GO4104,11.516,gri,12,1,37
210580990,4,STAR,03 44 31.099,+16 41 09.07,LC,GO4007_GO4029_GO4033_GO4052_GO4060_GO4082_GO4104,11.681,gri,18,3,63
210580994,4,STAR,03 37 27.016,+16 41 09.46,LC,GO4020_GO4060,14.587,gri,23,1,77
210581012,4,STAR,04 00 00.403,+16 41 10.24,LC,GO4020_GO4102,9.888,gri,12,1,37
210581034,4,STAR,03 31 58.886,+16 41 11.37,LC,GO4007_GO4029_GO4033_GO4052_GO4060_GO4104,11.966,gri,23,4,80
210581144,4,STAR,03 49 40.026,+16 41 16.78,LC,GO4020,10.551,gri,18,2,62
210581202,4,STAR,04 01 07.914,+16 41 19.03,LC,GO4007_GO4029_GO4033_GO4057_GO4060_GO4104,10.441,gri,12,2,38
210581348,4,STAR,03 33 54.785,+16 41 28.05,LC,GO4006_GO4020_GO4097,13.833,gri,23,1,77
210581470,4,STAR,03 33 20.776,+16 41 34.63,LC,GO4007_GO4029_GO4033_GO4060,12.022,gri,23,4,80
210581549,4,STAR,03 38 22.398,+16 41 39.16,LC,GO4007_GO4029_GO4033_GO4104,11.758,gri,23,1,77
210581555,4,STAR,04 01 41.135,+16 41 39.52,LC,GO4007_GO4029_GO4033_GO4060,12.588,gri,12,2,38
210581668,4,STAR,03 59 27.780,+16 41 44.71,LC,GO4007_GO4029_GO4033_GO4060_GO4104,11.939,gri,12,1,37
210581681,4,STAR,03 56 49.751,+16 41 45.35,LC,GO4006_GO4097,14.655,JHK,12,1,37
210581734,4,STAR,03 29 28.270,+16 41 47.88,LC,GO4006_GO4060,15.212,gri,23,4,80
210581865,4,STAR,03 56 39.559,+16 41 55.13,LC,GO4007_GO4029_GO4033,12.744,gri,12,1,37
210581907,4,STAR,03 37 42.629,+16 41 57.76,LC,GO4020_GO4102,10.786,gri,23,1,77
210581982,4,STAR,03 35 22.308,+16 42 01.95,LC,GO4020,11.682,gri,23,1,77
210582056,4,STAR,04 01 51.197,+16 42 05.68,LC,GO4007_GO4029_GO4033_GO4060,12.244,gri,12,2,38
210582129,4,STAR,03 30 54.875,+16 42 09.80,LC,GO4007_GO4029_GO4033_GO4104,11.358,gri,23,4,80
210582309,4,STAR,03 36 18.954,+16 42 21.27,LC,GO4007_GO4029_GO4033_GO4104,11.922,gri,23,1,77
210582324,4,STAR,03 44 12.286,+16 42 21.88,LC,GO4007_GO4033,9.674,gri,18,3,63
210582396,4,STAR,03 42 31.136,+16 42 25.70,LC,GO4046_GO4060,14.580,gri,18,3,63
210582477,4,STAR,03 49 53.612,+16 42 29.77,LC,GO4007_GO4029_GO4033,12.751,gri,18,2,62
210582911,4,STAR,03 48 40.331,+16 42 51.67,LC,GO4011_GO4020,15.002,gri,18,2,62
