filename EPIC Module Output Kp
210600000/79000/ktwo210679946-c04_lpd-targ.fits.gz 210679946 2 1 10.017
210600000/26000/ktwo210626805-c04_lpd-targ.fits.gz 210626805 2 1 11.763
210600000/19000/ktwo210619810-c04_lpd-targ.fits.gz 210619810 2 1 9.657
210600000/39000/ktwo210639474-c04_lpd-targ.fits.gz 210639474 2 1 15.676
210600000/46000/ktwo210646357-c04_lpd-targ.fits.gz 210646357 2 1 13.167
210600000/20000/ktwo210620508-c04_lpd-targ.fits.gz 210620508 2 1 13.473
210600000/69000/ktwo210669767-c04_lpd-targ.fits.gz 210669767 2 1 10.752
210600000/74000/ktwo210674233-c04_lpd-targ.fits.gz 210674233 2 1 12.856
210600000/17000/ktwo210617643-c04_lpd-targ.fits.gz 210617643 2 1 12.241
210600000/55000/ktwo210655359-c04_lpd-targ.fits.gz 210655359 2 1 12.505
210600000/61000/ktwo210661226-c04_lpd-targ.fits.gz 210661226 2 1 11.625
210600000/18000/ktwo210618591-c04_lpd-targ.fits.gz 210618591 2 1 14.301
210600000/90000/ktwo210690210-c04_lpd-targ.fits.gz 210690210 2 1 13.089
210600000/55000/ktwo210655699-c04_lpd-targ.fits.gz 210655699 2 1 14.893
210600000/76000/ktwo210676348-c04_lpd-targ.fits.gz 210676348 2 1 12.547
210600000/36000/ktwo210636905-c04_lpd-targ.fits.gz 210636905 2 1 12.956
210600000/35000/ktwo210635177-c04_lpd-targ.fits.gz 210635177 2 1 12.194
210600000/04000/ktwo210604403-c04_lpd-targ.fits.gz 210604403 2 1 13.057
210600000/34000/ktwo210634949-c04_lpd-targ.fits.gz 210634949 2 1 15.554
210600000/33000/ktwo210633717-c04_lpd-targ.fits.gz 210633717 2 1 10.255
210600000/18000/ktwo210618287-c04_lpd-targ.fits.gz 210618287 2 1 10.262
210600000/04000/ktwo210604569-c04_lpd-targ.fits.gz 210604569 2 1 15.004
210600000/28000/ktwo210628150-c04_lpd-targ.fits.gz 210628150 2 1 12.129
210600000/74000/ktwo210674794-c04_lpd-targ.fits.gz 210674794 2 1 13.415
210600000/84000/ktwo210684117-c04_lpd-targ.fits.gz 210684117 2 1 12.541
210600000/02000/ktwo210602165-c04_lpd-targ.fits.gz 210602165 2 1 11.934
210600000/27000/ktwo210627659-c04_lpd-targ.fits.gz 210627659 2 1 9.091
210600000/25000/ktwo210625247-c04_lpd-targ.fits.gz 210625247 2 1 14.56
